Date;Description;Distance (km);Time;Time (seconds);Speed (km/h);Best 250m (km/h);Best 500m (km/h);Best 1000m (km/h);Best 5km (km/h);Best 10km (km/h);Best 20km (km/h);Best 50km (km/h);Best 100km (km/h);Best 30 min (km/h);Best 1 h (km/h);Best 2 h (km/h);Best 3 h (km/h);Best 4 h (km/h);Best 5 h (km/h);Max gradient for 250 m (%);Max gradient for 500 m (%);Max gradient for 1000 m (%);Max gradient for 5 km (%);Max gradient for 10 km (%);Max gradient for 20 km (%)
mar. 03 août 2021 - 13:49;Retour boulot;5,28;14m 04s;844;22,54;33,33;32,14;30,51;24,16;;;;;;;;;;;3,12;1,68;1,40;0,32;;
mar. 03 août 2021 - 07:55;Aller boulot;5,27;17m 52s;1072;17,70;32,14;31,03;28,35;24,23;;;;;;;;;;;3,04;1,52;1,04;;;
lun. 02 août 2021 - 18:14;Retour boulot;5,32;12m 47s;767;24,96;36,00;34,62;33,33;26,79;;;;;;;;;;;2,72;1,72;1,44;0,29;;
lun. 02 août 2021 - 08:25;Aller boulot;5,29;13m 09s;789;24,12;34,62;32,73;29,03;25,94;;;;;;;;;;;2,48;1,56;0,98;;;
dim. 01 août 2021 - 10:01;Thorigné - Mauron;61,40;02h 16m 57s;8217;26,90;47,37;43,90;40,91;34,42;31,91;29,84;27,00;;30,22;29,37;26,98;;;;5,68;4,16;3,70;1,17;0,73;0,42
jeu. 29 juillet 2021 - 18:14;Retour boulot;5,25;11m 19s;679;27,84;40,91;39,13;36,36;29,08;;;;;;;;;;;4,00;1,84;1,56;0,30;;
jeu. 29 juillet 2021 - 08:21;Aller boulot;5,26;13m 47s;827;22,88;36,00;33,33;27,07;23,81;;;;;;;;;;;2,48;1,88;1,04;;;
mer. 28 juillet 2021 - 17:55;Retour boulot;5,30;15m 28s;928;20,54;31,03;29,03;27,07;21,63;;;;;;;;;;;3,36;1,88;1,36;0,29;;
mer. 28 juillet 2021 - 08:31;Aller boulot;5,38;17m 30s;1050;18,43;36,00;33,96;30,25;25,68;;;;;;;;;;;2,80;1,60;0,94;;;
lun. 26 juillet 2021 - 18:06;Retour boulot;5,35;15m 03s;903;21,33;33,33;32,73;28,35;22,56;;;;;;;;;;;3,36;1,80;1,36;0,31;;
lun. 26 juillet 2021 - 13:08;Sortie à vélo l'après-midi;0,79;03m 12s;192;14,77;19,15;16,82;;;;;;;;;;;;;2,64;2,32;;;;
lun. 26 juillet 2021 - 12:44;Sortie à vélo le midi;5,79;16m 26s;986;21,15;36,00;33,96;29,03;23,35;;;;;;;;;;;6,40;4,60;3,22;0,82;;
lun. 26 juillet 2021 - 11:37;Aller boulot;5,35;14m 11s;851;22,65;31,03;29,03;26,87;24,13;;;;;;;;;;;4,32;2,36;0,42;;;
lun. 26 juillet 2021 - 08:21;Aller boulot;4,79;16m 21s;981;17,59;27,27;26,87;25,00;;;;;;;;;;;;3,04;1,88;0,98;;;
